epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,12750.8,1.53084,1.07832,0.93873,0.75412,0.6056,0.66631,0.46144,1.50035,1.02544,0.94258,0.000324106,0.000324106,0.000324106
70,12883.6,1.54992,1.08602,0.93914,0.71259,0.62541,0.67207,0.47542,1.48445,1.02287,0.93978,0.000320225,0.000320225,0.000320225
71,13012.8,1.52129,1.07726,0.93706,0.76492,0.59608,0.67115,0.47796,1.487,1.02817,0.94013,0.000316344,0.000316344,0.000316344
72,13253.3,1.5236,1.07306,0.93643,0.74322,0.62065,0.67418,0.4742,1.50409,1.02701,0.94092,0.000312463,0.000312463,0.000312463
73,13434.6,1.52342,1.05911,0.94187,0.71569,0.62002,0.67313,0.47321,1.49471,1.01866,0.94041,0.000308582,0.000308582,0.000308582
74,13555.4,1.53595,1.0666,0.94292,0.76649,0.61568,0.68551,0.4749,1.51771,1.01004,0.94515,0.000304702,0.000304702,0.000304702
75,13667.9,1.52193,1.05536,0.94202,0.78286,0.61368,0.68314,0.48045,1.48306,0.99366,0.93813,0.000300821,0.000300821,0.000300821
76,13828.9,1.52284,1.05054,0.93385,0.76262,0.61433,0.68704,0.48557,1.48198,0.99387,0.93725,0.00029694,0.00029694,0.00029694
77,13944.7,1.52988,1.05433,0.94389,0.7672,0.6195,0.69148,0.48065,1.50073,1.00305,0.9407,0.000293059,0.000293059,0.000293059
78,14220,1.52519,1.04998,0.94044,0.74483,0.63358,0.68485,0.48125,1.49934,0.99809,0.94219,0.000289178,0.000289178,0.000289178
79,14356.3,1.5041,1.03084,0.93184,0.78392,0.61414,0.69626,0.48378,1.49244,0.98584,0.94016,0.000285298,0.000285298,0.000285298
80,14642.8,1.52511,1.03455,0.9332,0.79312,0.62665,0.70658,0.50494,1.4693,0.97892,0.93605,0.000281417,0.000281417,0.000281417
81,14848.8,1.51359,1.03809,0.93173,0.74525,0.64717,0.70542,0.5029,1.47051,0.98631,0.93609,0.000277536,0.000277536,0.000277536
82,15152.9,1.50701,1.04081,0.93759,0.7493,0.64482,0.69518,0.4936,1.47442,0.98197,0.93482,0.000273655,0.000273655,0.000273655
83,15389.8,1.50415,1.0265,0.93122,0.76761,0.66658,0.70803,0.50729,1.47031,0.97718,0.9351,0.000269774,0.000269774,0.000269774
84,15592,1.51166,1.03234,0.9343,0.74137,0.64944,0.7019,0.49767,1.46965,0.98297,0.93622,0.000265894,0.000265894,0.000265894
85,15810.4,1.51461,1.04284,0.93598,0.73589,0.66042,0.70353,0.5015,1.47651,0.9838,0.93742,0.000262013,0.000262013,0.000262013
86,15994.3,1.49722,1.00904,0.93927,0.74348,0.66763,0.70761,0.50702,1.45648,0.9699,0.93401,0.000258132,0.000258132,0.000258132
87,16118.6,1.4928,1.01929,0.92663,0.77802,0.63985,0.71056,0.50639,1.46301,0.96635,0.93146,0.000254251,0.000254251,0.000254251
88,16228.5,1.49776,1.01498,0.92939,0.77719,0.64245,0.70676,0.5011,1.46657,0.96144,0.93367,0.00025037,0.00025037,0.00025037
89,16389.8,1.52479,1.01702,0.93156,0.76822,0.66339,0.71524,0.51249,1.46524,0.96303,0.9336,0.00024649,0.00024649,0.00024649
90,16633.1,1.50524,1.01723,0.93087,0.76501,0.65784,0.71264,0.50864,1.45371,0.96288,0.93157,0.000242609,0.000242609,0.000242609
91,16825.5,1.49754,1.01004,0.92867,0.77184,0.6517,0.71215,0.51223,1.45118,0.95026,0.92987,0.000238728,0.000238728,0.000238728
92,16967,1.45726,0.98247,0.92505,0.76885,0.6666,0.72265,0.51994,1.4442,0.94859,0.92781,0.000234847,0.000234847,0.000234847
93,17130.7,1.47207,0.98571,0.92594,0.77055,0.66766,0.71981,0.51822,1.44456,0.95103,0.92848,0.000230966,0.000230966,0.000230966
94,17330,1.4872,0.99857,0.9305,0.74165,0.66804,0.72213,0.5168,1.45691,0.94179,0.92964,0.000227086,0.000227086,0.000227086
95,17460,1.49594,0.99309,0.92886,0.77233,0.661,0.71936,0.51122,1.45272,0.94318,0.93088,0.000223205,0.000223205,0.000223205
96,17656.1,1.47276,0.9872,0.92098,0.81096,0.64541,0.72112,0.51769,1.4432,0.9282,0.92852,0.000219324,0.000219324,0.000219324
97,17823,1.48235,0.99229,0.92485,0.79948,0.65218,0.72397,0.52325,1.4364,0.94016,0.92768,0.000215443,0.000215443,0.000215443
98,18032.6,1.45805,0.97266,0.92169,0.76225,0.67671,0.72655,0.52694,1.43063,0.9259,0.92607,0.000211562,0.000211562,0.000211562
99,18166.3,1.48641,0.99074,0.91606,0.80151,0.67003,0.73115,0.51861,1.42765,0.91615,0.92473,0.000207682,0.000207682,0.000207682
100,18343.7,1.47664,0.9757,0.92012,0.82502,0.66301,0.73026,0.52368,1.44409,0.93426,0.92596,0.000203801,0.000203801,0.000203801
101,18615,1.45453,0.97073,0.92184,0.78047,0.68096,0.73042,0.52577,1.44177,0.91956,0.92733,0.00019992,0.00019992,0.00019992
102,18863.4,1.46436,0.9695,0.92276,0.76582,0.67933,0.7329,0.53022,1.42658,0.91501,0.9252,0.000196039,0.000196039,0.000196039
103,19042,1.47013,0.97864,0.92127,0.75988,0.68265,0.72725,0.52124,1.42754,0.92458,0.9252,0.000192158,0.000192158,0.000192158
104,19183.7,1.46087,0.96933,0.9198,0.79358,0.66593,0.73207,0.5312,1.41768,0.91385,0.92234,0.000188278,0.000188278,0.000188278
105,19320.3,1.46582,0.96835,0.91905,0.75686,0.67915,0.72791,0.51911,1.42606,0.91073,0.92366,0.000184397,0.000184397,0.000184397
106,19486.6,1.43431,0.94702,0.91542,0.79417,0.67074,0.72805,0.52785,1.41825,0.9144,0.92281,0.000180516,0.000180516,0.000180516
107,19643.3,1.45538,0.9639,0.92442,0.79222,0.67581,0.73578,0.52957,1.42757,0.90425,0.92529,0.000176635,0.000176635,0.000176635
108,19772.3,1.44272,0.95717,0.91478,0.79574,0.67186,0.73481,0.53289,1.42571,0.90981,0.92249,0.000172754,0.000172754,0.000172754
109,19912.3,1.4386,0.9429,0.91726,0.79371,0.67843,0.73745,0.53032,1.42142,0.91366,0.92266,0.000168874,0.000168874,0.000168874
110,20061.1,1.44295,0.94734,0.91968,0.80805,0.67818,0.73594,0.53586,1.42341,0.90991,0.92452,0.000164993,0.000164993,0.000164993
111,20238.5,1.43535,0.95054,0.91781,0.79423,0.68922,0.73773,0.53507,1.4131,0.90411,0.92164,0.000161112,0.000161112,0.000161112
112,20480.9,1.4216,0.93282,0.91074,0.78865,0.68601,0.73797,0.53696,1.41166,0.90763,0.92123,0.000157231,0.000157231,0.000157231
113,20662.6,1.43732,0.95196,0.91154,0.77851,0.68735,0.74187,0.53666,1.41197,0.90216,0.92175,0.00015335,0.00015335,0.00015335
114,20870.2,1.43808,0.94867,0.91413,0.813,0.67826,0.74049,0.54214,1.40519,0.895,0.92025,0.00014947,0.00014947,0.00014947
115,21126.3,1.43422,0.9435,0.91282,0.8199,0.6661,0.74032,0.53025,1.42799,0.90181,0.92231,0.000145589,0.000145589,0.000145589
116,21355.4,1.43784,0.94013,0.91765,0.79188,0.68812,0.74138,0.53432,1.41292,0.89601,0.92055,0.000141708,0.000141708,0.000141708
117,21529.2,1.4569,0.95203,0.91754,0.79567,0.69121,0.74309,0.53901,1.41503,0.89624,0.92184,0.000137827,0.000137827,0.000137827
118,21807.5,1.40993,0.9272,0.9094,0.82498,0.68088,0.74918,0.5432,1.40714,0.88891,0.91986,0.000133946,0.000133946,0.000133946
119,21938.3,1.41153,0.92222,0.91192,0.80412,0.69718,0.75313,0.54746,1.40084,0.88484,0.91837,0.000130066,0.000130066,0.000130066
